temperature,rainfall,humidity,label
33.57,50.19,56.85,black hops
35.54,43.15,53.29,black hops
28.86,52.74,45.62,black hops
37.28,44.13,50.41,black hops
33.51,56.22,45.39,black hops
31.68,75.02,57.81,black hops
32.46,67.44,50.36,black hops
30.35,44.88,39.95,black hops
33.99,45.28,49.85,black hops
27.7,60.99,54.55,black hops
31.62,58.94,55.75,black hops
28.42,33.97,46.45,black hops
29.26,74.73,44.37,black hops
32.93,69.86,44.26,black hops
29.98,38.27,43.84,black hops
12.77,198.77,50.15,golden papaya
13.57,98.55,44.23,golden papaya
15.04,214.58,43.66,golden papaya
14.84,208.4,44.8,golden papaya
11.57,124.07,38.27,golden papaya
11.96,128.18,33.78,golden papaya
13.25,125.65,50.59,golden papaya
11.1,194.32,35.31,golden papaya
10.81,198.7,36.09,golden papaya
10.03,130.01,46.57,golden papaya
13.03,173.97,48.82,golden papaya
14.93,194.68,32.69,golden papaya
15.93,167.67,46.93,golden papaya
13.41,112.09,47.82,golden papaya
10.92,190.71,33.88,golden papaya
15.36,125.04,30.84,golden coffee
20.93,66.91,40.94,golden coffee
12.51,115.6,40.85,golden coffee
11.8,117.69,37.92,golden coffee
14.3,54.94,39.77,golden coffee
18.29,112.12,32.59,golden coffee
20.93,98.74,33.04,golden coffee
11.48,76.73,42.89,golden coffee
19.66,59.74,32.85,golden coffee
15.15,43.7,39.0,golden coffee
16.13,75.01,41.91,golden coffee
16.71,111.34,34.1,golden coffee
10.62,64.52,34.81,golden coffee
20.36,54.13,33.0,golden coffee
17.55,126.15,35.14,golden coffee
5.23,156.77,74.09,organic celery
9.0,168.62,81.54,organic celery
5.08,152.99,67.59,organic celery
8.99,145.88,83.38,organic celery
9.07,164.78,84.16,organic celery
9.42,153.35,81.08,organic celery
9.59,161.26,79.2,organic celery
6.3,137.66,81.31,organic celery
9.31,173.73,65.1,organic celery
7.71,156.62,84.25,organic celery
8.39,160.67,71.47,organic celery
5.32,139.84,77.17,organic celery
7.92,163.28,72.48,organic celery
6.41,144.21,75.16,organic celery
9.74,154.36,77.8,organic celery
18.39,173.9,71.61,mountain olive
13.6,172.79,76.43,mountain olive
13.29,197.48,82.76,mountain olive
18.65,199.22,69.7,mountain olive
19.83,173.81,80.97,mountain olive
16.39,197.36,80.17,mountain olive
17.19,184.4,77.23,mountain olive
14.76,184.49,77.37,mountain olive
19.28,175.16,70.43,mountain olive
19.34,206.92,79.48,mountain olive
16.9,177.91,69.3,mountain olive
14.05,175.29,71.47,mountain olive
17.8,180.91,81.31,mountain olive
19.87,199.44,84.12,mountain olive
15.07,188.2,81.76,mountain olive
13.2,58.94,73.48,northern coconut
11.91,68.72,73.59,northern coconut
18.37,38.19,78.91,northern coconut
15.11,106.76,74.36,northern coconut
9.72,110.97,77.56,northern coconut
10.03,37.76,82.74,northern coconut
17.33,35.36,73.74,northern coconut
12.44,105.04,73.59,northern coconut
17.52,32.85,78.47,northern coconut
19.06,34.49,72.57,northern coconut
19.01,111.68,80.3,northern coconut
8.97,50.5,80.12,northern coconut
12.23,61.85,75.41,northern coconut
9.0,59.23,81.23,northern coconut
15.63,111.58,68.68,northern coconut
12.69,113.29,74.69,summer berry
15.06,108.11,70.66,summer berry
16.2,129.33,68.53,summer berry
14.88,132.23,77.16,summer berry
18.01,107.68,79.06,summer berry
18.12,130.03,72.84,summer berry
16.29,133.27,77.25,summer berry
18.57,122.39,74.97,summer berry
12.28,105.27,77.93,summer berry
12.59,122.8,68.76,summer berry
13.54,102.82,83.16,summer berry
19.07,120.93,76.3,summer berry
18.15,121.66,78.09,summer berry
16.02,114.02,79.31,summer berry
17.53,108.8,73.66,summer berry
27.85,212.47,52.26,green pepper
29.67,208.64,38.88,green pepper
27.97,199.91,44.11,green pepper
30.91,278.95,39.82,green pepper
36.19,292.04,51.21,green pepper
35.26,202.73,58.57,green pepper
34.73,236.88,52.24,green pepper
27.61,267.59,39.41,green pepper
33.08,204.98,50.74,green pepper
35.38,238.6,37.52,green pepper
26.19,193.23,37.13,green pepper
33.72,251.24,41.83,green pepper
35.35,193.42,52.8,green pepper
26.33,219.38,50.24,green pepper
33.23,294.01,50.83,green pepper
11.51,189.74,54.56,golden rye
13.6,165.06,58.77,golden rye
11.59,190.15,63.34,golden rye
14.15,168.85,60.34,golden rye
14.29,179.55,65.39,golden rye
14.3,169.73,64.22,golden rye
13.48,179.69,61.52,golden rye
14.78,193.13,63.25,golden rye
10.06,178.01,55.72,golden rye
14.79,166.59,66.6,golden rye
12.98,189.11,55.02,golden rye
12.65,166.27,60.11,golden rye
14.82,174.53,54.8,golden rye
13.37,165.09,59.15,golden rye
13.59,194.05,52.3,golden rye
25.79,177.46,61.36,white cocoa
29.15,175.92,56.06,white cocoa
27.85,159.69,63.64,white cocoa
25.61,186.24,56.79,white cocoa
26.04,136.49,67.43,white cocoa
30.24,215.84,59.28,white cocoa
27.93,146.55,61.84,white cocoa
29.86,142.45,56.42,white cocoa
31.44,179.49,56.3,white cocoa
30.44,205.64,50.79,white cocoa
22.45,211.89,60.27,white cocoa
21.95,168.6,60.44,white cocoa
27.54,121.35,57.44,white cocoa
21.64,248.39,49.43,white cocoa
25.7,233.96,56.83,white cocoa
14.99,37.87,58.76,sweet cotton
12.42,100.3,61.06,sweet cotton
11.53,114.96,55.1,sweet cotton
13.09,101.37,58.11,sweet cotton
12.55,130.34,66.04,sweet cotton
10.56,87.76,55.78,sweet cotton
14.72,72.92,57.97,sweet cotton
14.04,43.35,57.62,sweet cotton
12.67,63.15,56.32,sweet cotton
10.83,110.0,66.12,sweet cotton
11.63,51.36,66.71,sweet cotton
10.82,47.44,59.17,sweet cotton
11.45,105.23,51.22,sweet cotton
10.9,96.83,55.05,sweet cotton
13.85,30.07,67.55,sweet cotton
8.66,126.93,50.82,winter berry
15.33,117.19,54.74,winter berry
12.63,140.01,64.87,winter berry
10.87,151.77,54.73,winter berry
18.29,140.08,70.5,winter berry
16.64,106.46,61.84,winter berry
14.35,125.31,50.35,winter berry
11.0,97.84,61.16,winter berry
8.68,109.19,60.83,winter berry
19.87,108.7,61.39,winter berry
12.72,131.24,50.39,winter berry
11.06,112.33,62.13,winter berry
18.44,84.58,54.62,winter berry
10.24,150.58,52.63,winter berry
6.61,112.75,63.31,winter berry
12.91,248.9,65.1,northern millet
11.11,172.32,54.27,northern millet
9.82,247.27,61.78,northern millet
12.34,196.13,58.81,northern millet
15.57,184.55,61.74,northern millet
10.51,223.63,62.56,northern millet
9.21,211.91,59.69,northern millet
12.79,227.89,57.21,northern millet
13.21,197.06,53.54,northern millet
10.62,188.37,52.1,northern millet
15.79,193.72,63.66,northern millet
10.16,240.29,66.39,northern millet
14.19,202.92,62.53,northern millet
15.51,174.85,63.47,northern millet
15.46,224.05,62.13,northern millet
6.1,63.3,78.87,black garlic
6.72,43.29,73.7,black garlic
8.88,35.04,80.03,black garlic
9.77,43.27,83.11,black garlic
7.84,72.94,73.86,black garlic
5.59,30.13,74.06,black garlic
10.96,29.22,73.4,black garlic
8.14,41.44,77.32,black garlic
9.47,43.76,69.39,black garlic
8.7,61.94,83.57,black garlic
10.53,48.68,74.55,black garlic
10.64,53.84,70.79,black garlic
11.31,36.55,74.0,black garlic
8.74,37.45,69.0,black garlic
5.58,64.01,82.52,black garlic
28.15,260.09,57.76,wild lime
23.3,195.27,52.42,wild lime
30.31,135.97,55.53,wild lime
26.8,127.41,55.93,wild lime
25.53,135.14,48.18,wild lime
25.45,173.7,53.93,wild lime
28.83,196.46,55.67,wild lime
23.81,208.42,47.29,wild lime
26.83,168.71,56.43,wild lime
28.88,190.63,50.55,wild lime
29.47,211.97,46.78,wild lime
24.68,183.82,53.05,wild lime
30.11,217.85,51.16,wild lime
25.73,215.0,52.9,wild lime
28.52,142.38,52.39,wild lime
21.2,69.34,78.5,valley sugarcane
27.97,76.7,72.62,valley sugarcane
22.1,59.94,78.35,valley sugarcane
16.55,53.51,74.43,valley sugarcane
25.65,53.66,82.02,valley sugarcane
24.05,77.56,79.33,valley sugarcane
22.42,86.1,83.18,valley sugarcane
18.93,76.76,75.58,valley sugarcane
28.18,78.55,83.48,valley sugarcane
16.15,61.7,79.34,valley sugarcane
23.14,87.24,83.53,valley sugarcane
26.3,53.76,78.65,valley sugarcane
26.92,63.91,69.3,valley sugarcane
28.48,88.82,82.97,valley sugarcane
25.92,48.54,77.94,valley sugarcane
9.14,213.3,73.99,grape
10.36,238.73,67.41,grape
10.51,260.44,65.4,grape
7.47,274.57,73.33,grape
7.65,267.39,75.11,grape
6.14,254.88,76.79,grape
11.06,232.0,80.76,grape
8.67,232.44,70.78,grape
11.17,268.24,75.29,grape
10.74,182.21,80.41,grape
9.03,250.34,78.85,grape
10.49,252.19,77.05,grape
10.04,175.06,78.63,grape
7.45,233.2,63.22,grape
9.2,260.84,83.68,grape
25.52,157.16,37.3,winter cinnamon
21.3,135.9,45.09,winter cinnamon
25.89,209.6,46.62,winter cinnamon
26.0,148.15,36.32,winter cinnamon
25.88,196.32,44.43,winter cinnamon
23.81,206.95,36.5,winter cinnamon
24.57,180.77,45.8,winter cinnamon
22.69,182.35,48.38,winter cinnamon
24.81,211.96,53.55,winter cinnamon
24.01,161.44,53.16,winter cinnamon
22.72,185.0,51.35,winter cinnamon
22.68,171.45,38.53,winter cinnamon
27.14,139.4,40.51,winter cinnamon
25.75,134.53,37.55,winter cinnamon
22.68,171.35,43.68,winter cinnamon
18.27,59.81,45.19,white thyme
15.03,105.1,39.54,white thyme
17.27,44.45,36.82,white thyme
17.47,24.22,37.26,white thyme
17.77,108.29,43.62,white thyme
18.21,96.27,47.03,white thyme
17.27,111.67,43.91,white thyme
20.88,21.76,37.71,white thyme
17.53,106.89,42.11,white thyme
18.8,83.23,41.44,white thyme
18.47,75.46,45.53,white thyme
18.45,73.91,36.54,white thyme
16.56,90.57,47.01,white thyme
18.76,84.67,36.04,white thyme
18.03,91.24,39.34,white thyme
16.54,134.83,34.48,peanut
13.12,197.8,41.64,peanut
17.38,224.56,31.9,peanut
16.54,223.91,30.3,peanut
20.06,234.22,43.79,peanut
19.58,216.84,41.49,peanut
19.66,101.06,34.27,peanut
17.04,171.27,30.91,peanut
17.48,159.82,40.46,peanut
14.22,129.7,35.67,peanut
16.5,215.43,31.32,peanut
18.05,185.67,31.58,peanut
13.93,214.93,42.23,peanut
13.86,114.39,31.87,peanut
13.67,101.69,33.67,peanut
8.19,185.38,54.94,hybrid cucumber
13.1,126.87,46.19,hybrid cucumber
11.83,167.88,54.39,hybrid cucumber
10.96,116.48,49.71,hybrid cucumber
12.88,163.39,46.59,hybrid cucumber
11.31,110.58,52.34,hybrid cucumber
12.25,153.77,50.66,hybrid cucumber
12.15,147.04,53.44,hybrid cucumber
13.06,156.71,48.05,hybrid cucumber
7.55,149.11,48.99,hybrid cucumber
9.03,126.71,54.9,hybrid cucumber
8.5,141.66,47.08,hybrid cucumber
7.36,119.66,49.83,hybrid cucumber
11.81,121.87,50.75,hybrid cucumber
9.8,168.36,47.7,hybrid cucumber
11.06,189.92,75.7,southern orange
11.66,261.14,72.45,southern orange
14.0,203.32,82.25,southern orange
8.45,220.45,74.23,southern orange
15.59,267.15,65.47,southern orange
14.12,187.63,74.64,southern orange
13.78,218.6,65.74,southern orange
16.19,241.37,73.92,southern orange
10.17,255.36,70.69,southern orange
15.41,248.71,79.26,southern orange
10.78,200.88,79.54,southern orange
13.32,187.52,69.62,southern orange
10.38,268.2,79.85,southern orange
12.05,252.28,81.24,southern orange
11.01,240.78,65.28,southern orange
16.72,239.77,71.88,winter garlic
20.86,274.65,71.26,winter garlic
17.44,263.33,72.95,winter garlic
16.44,242.7,58.21,winter garlic
20.13,216.31,55.36,winter garlic
18.76,188.89,64.64,winter garlic
20.76,183.41,77.27,winter garlic
22.58,263.72,61.98,winter garlic
15.9,184.71,55.64,winter garlic
15.88,276.51,66.43,winter garlic
15.73,261.54,66.51,winter garlic
21.06,209.55,68.17,winter garlic
18.31,228.9,63.7,winter garlic
22.85,248.45,56.17,winter garlic
22.99,271.79,65.5,winter garlic
18.02,53.05,52.49,hybrid sugarcane
20.23,175.96,55.67,hybrid sugarcane
13.36,87.61,53.85,hybrid sugarcane
17.81,55.63,47.65,hybrid sugarcane
21.41,170.39,52.76,hybrid sugarcane
15.22,128.42,52.23,hybrid sugarcane
15.17,92.06,45.23,hybrid sugarcane
17.24,79.36,59.87,hybrid sugarcane
17.51,85.39,44.62,hybrid sugarcane
13.11,58.5,44.33,hybrid sugarcane
20.02,161.14,41.16,hybrid sugarcane
15.4,57.86,42.25,hybrid sugarcane
15.74,87.63,52.0,hybrid sugarcane
15.63,64.35,42.07,hybrid sugarcane
19.29,150.38,55.99,hybrid sugarcane
20.55,169.03,57.39,melon
30.06,125.99,69.8,melon
29.67,100.44,65.41,melon
28.65,146.53,66.04,melon
28.45,162.96,67.5,melon
26.04,162.24,62.1,melon
31.36,184.05,71.73,melon
25.24,112.83,61.16,melon
30.98,170.86,73.53,melon
27.9,111.9,59.02,melon
29.86,185.12,58.4,melon
30.47,119.11,68.26,melon
23.8,112.95,65.52,melon
31.52,118.14,73.54,melon
22.38,174.18,57.2,melon
16.5,199.74,54.68,golden alfalfa
16.25,226.53,58.26,golden alfalfa
18.62,181.42,47.86,golden alfalfa
14.79,257.65,58.54,golden alfalfa
22.18,222.06,48.47,golden alfalfa
24.97,233.87,55.21,golden alfalfa
22.97,266.69,49.39,golden alfalfa
14.83,221.21,55.01,golden alfalfa
16.41,199.78,49.18,golden alfalfa
24.87,232.27,50.08,golden alfalfa
24.54,182.31,58.88,golden alfalfa
23.03,264.84,55.83,golden alfalfa
20.14,237.41,62.01,golden alfalfa
23.88,275.2,48.68,golden alfalfa
13.41,214.32,49.77,golden alfalfa
13.97,41.32,44.11,sweet sunflower
15.31,65.66,43.39,sweet sunflower
18.44,49.84,55.79,sweet sunflower
18.29,91.81,48.55,sweet sunflower
9.75,76.67,46.44,sweet sunflower
13.24,67.87,48.58,sweet sunflower
11.14,85.63,54.59,sweet sunflower
18.55,57.48,52.43,sweet sunflower
12.28,49.95,44.88,sweet sunflower
21.83,87.72,46.9,sweet sunflower
8.35,79.7,48.59,sweet sunflower
10.87,80.99,49.39,sweet sunflower
11.29,71.27,48.48,sweet sunflower
13.74,49.47,55.22,sweet sunflower
18.49,47.07,48.97,sweet sunflower
13.91,154.57,68.68,black peanut
18.55,89.23,65.67,black peanut
14.0,63.64,61.47,black peanut
22.35,114.73,67.4,black peanut
20.78,95.18,75.27,black peanut
17.35,98.59,74.77,black peanut
18.57,108.84,65.97,black peanut
15.51,99.69,64.73,black peanut
11.53,141.19,74.42,black peanut
12.61,92.7,73.04,black peanut
10.29,59.04,60.65,black peanut
14.49,74.55,73.03,black peanut
13.35,109.66,62.27,black peanut
17.9,77.13,64.38,black peanut
19.5,58.02,72.49,black peanut
18.96,140.35,73.09,winter raspberry
17.03,152.88,67.44,winter raspberry
23.77,165.63,72.51,winter raspberry
25.06,158.75,73.04,winter raspberry
25.01,138.91,81.87,winter raspberry
25.66,83.94,79.09,winter raspberry
26.93,101.26,66.06,winter raspberry
